2989.23,2989.83,2986.35,2984.71,2990.19,2989.88,2993.65,2990.7,2991.33,2987.9,2991.09,2996.42,2997.93,2993.76,2995.12,2995.42,2999.19,2997.49,2998.95,3000.26,3005.06,3004.76,3000.86,3004.99,
2988.16,2987.79,2980.04,2991.37,2995.4,3004.64,3003.12,2996.22,3003.94,3004.92,3011.94,3008.02,3011.25,3014.75,3017.42,3015.87,3019.37,3024.94,3026.05,3022.18,3022.9,3026.68,3024.73,3022.21,
3011.17,3013.29,3010.82,3014.92,3013.95,3008.85,3006.12,3000.21,2996.19,3003.78,3005.43,3001.45,2996.71,2992.61,2994.8,2991.48,2987.97,2987.63,2990.45,2983.99,2981.67,2982.26,2977.96,2970.63,
3031.6,3030.04,3027.36,3032.33,3033.14,3040.61,3040.21,3033.73,3032.61,3033.5,3035.54,3033.66,3032.5,3032.16,3029.89,3028.67,3030.05,3036.34,3036.69,3034.42,3031.09,3029.44,3030.09,3029.22,
3038.26,3040.9,3039.66,3035.91,3033.89,3036.92,3034.32,3038.28,3041.16,3036.94,3040.13,3035.89,3031.46,3034.52,3034.48,3044.35,3044.61,3048.12,3048.46,3051.34,3056.79,3050.42,3051.63,3044.11,
3027.32,3028.61,3030.55,3028.08,3025.81,3019.34,3017.5,3012.62,3007.75,3011.63,3011.04,3013.36,3010.62,3007.2,3004.49,3002.48,3003.07,3001.02,3002.77,3006.26,2997.29,2998.48,2996.31,2989.31,
2974.6,2974.16,2978.21,2980.11,2980.5,2978.7,2977.34,2972.11,2978.74,2982.88,2980.67,2987.87,2991.41,2989.2,2988.92,2988.05,2986.92,2992.92,2991.41,2991.41,2994.75,2996.44,2995.2,2994.07,
3070.19,3070.4,3071.96,3071.33,3069.31,3068.57,3072.74,3072.79,3068.06,3068.24,3067.2,3063.92,3064.48,3067.76,3068.52,3073.22,3068.46,3067.05,3068.87,3068.28,3071.19,3064.59,3060.39,3053.91,
3009.72,3005.4,3004.93,3000.21,3001.41,2997.33,2998.9,2999.08,2991.53,2990.27,2985.14,2986.69,2989.66,2983.09,2978.62,2978.1,2977.7,2978.62,2986.04,2991.24,2986.2,2987.83,2991.02,2994.8,
2991.75,2990.12,2990.35,2987.01,2990.82,2989.39,2989.0,2977.26,2981.59,2986.61,2987.88,2988.51,2992.48,2991.72,2998.14,2999.82,2997.41,2996.44,2998.19,2997.75,3004.58,3008.01,3007.79,3011.32,
2969.06,2972.0,2975.05,2977.9,2979.57,2979.11,2977.59,2981.45,2976.8,2975.52,2974.27,2971.63,2967.4,2967.15,2970.65,2971.15,2970.01,2967.12,2963.94,2966.16,2970.13,2966.67,2966.94,2965.11,
2881.61,2880.42,2889.07,2891.49,2887.1,2895.9,2897.62,2902.63,2909.91,2912.69,2918.23,2909.59,2910.82,2908.33,2902.02,2906.38,2907.57,2898.13,2898.29,2899.57,2896.3,2883.3,2882.3,2890.56,
2943.47,2947.62,2950.67,2946.88,2954.89,2955.3,2959.42,2962.75,2967.87,2969.05,2971.37,2963.79,2959.59,2959.82,2959.54,2953.33,2947.04,2946.46,2946.81,2943.29,2952.18,2949.56,2954.21,2961.29,
